station,date,metric,value_SI,unit_SI,source
Breezy Point,2023-03-02,level,217.419,m,breezy-point.csv
Breezy Point,2023-03-03,level,217.459,m,breezy-point.csv
Breezy Point,2023-03-04,level,217.451,m,breezy-point.csv
Breezy Point,2023-03-05,level,217.48,m,breezy-point.csv
Breezy Point,2023-03-06,level,217.471,m,breezy-point.csv
Breezy Point,2023-03-07,level,217.466,m,breezy-point.csv
Breezy Point,2023-03-08,level,217.499,m,breezy-point.csv
Breezy Point,2023-03-09,level,217.499,m,breezy-point.csv
Breezy Point,2023-03-10,level,217.478,m,breezy-point.csv
Breezy Point,2023-03-11,level,217.485,m,breezy-point.csv
Breezy Point,2023-03-12,level,217.494,m,breezy-point.csv
Breezy Point,2023-03-13,level,217.443,m,breezy-point.csv
Breezy Point,2023-03-14,level,217.403,m,breezy-point.csv
Breezy Point,2023-03-15,level,217.406,m,breezy-point.csv
Breezy Point,2023-03-16,level,217.457,m,breezy-point.csv
Breezy Point,2023-03-17,level,217.478,m,breezy-point.csv
Breezy Point,2023-03-18,level,217.454,m,breezy-point.csv
Breezy Point,2023-03-19,level,217.415,m,breezy-point.csv
Breezy Point,2023-03-20,level,217.468,m,breezy-point.csv
Breezy Point,2023-03-21,level,217.44,m,breezy-point.csv
Breezy Point,2023-03-22,level,217.449,m,breezy-point.csv
Breezy Point,2023-03-23,level,217.418,m,breezy-point.csv
Breezy Point,2023-03-24,level,217.397,m,breezy-point.csv
Breezy Point,2023-03-25,level,217.456,m,breezy-point.csv
Breezy Point,2023-03-26,level,217.428,m,breezy-point.csv
Breezy Point,2023-03-27,level,217.449,m,breezy-point.csv
Breezy Point,2023-03-28,level,217.415,m,breezy-point.csv
Breezy Point,2023-03-29,level,217.409,m,breezy-point.csv
Breezy Point,2023-03-30,level,217.397,m,breezy-point.csv
Breezy Point,2023-03-31,level,217.445,m,breezy-point.csv
Breezy Point,2023-04-01,level,217.412,m,breezy-point.csv
Breezy Point,2023-04-02,level,217.439,m,breezy-point.csv
