Last Reading Date, Hydrometric Stations, Flow (cfs), Level (feet)
2-Oct-25, Assiniboine River near Sturgis, 0,
2-Oct-25, Assiniboine River at Kamsack, 8,
2-Oct-25, Assiniboine River near Russell, 513,
2-Oct-25, Assiniboine River Southwest of St. Lazare, ,1273.94
2-Oct-25, Assiniboine River near Miniota, 650,
2-Oct-25, Assiniboine River East of Virden, ,1202.01
2-Oct-25, Assiniboine River North of Griswold, ,1185.52
2-Oct-25, Assiniboine River at Brandon, 557,
2-Oct-25, Assiniboine River near Holland, 749,
2-Oct-25, Assiniboine River near Portage la Prairie, 868,
2-Oct-25, Assiniboine River at Baie St. Paul, ,784.61
2-Oct-25, Assiniboine River at Headingley, 801,
