﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
05OC001,1,1,1912,01,,,,,,,,,43.9,,74.8,,37.7,,49.6,,27.3,,83.3,,44.7,,33.4,
05OC001,1,1,1912,02,,,,,,,,,43.9,,72.5,,47.3,,45.3,,26.4,,90.9,,43.3,,32.3,B
05OC001,1,1,1912,03,,,,,,,,,45.0,,71.1,,45.3,,40.5,,25.6,,96.8,,42.8,,31.1,B
05OC001,1,1,1912,04,,,,,,,,,45.6,,68.8,,43.9,,36.2,,24.3,,100,,43.3,,29.7,B
05OC001,1,1,1912,05,,,,,,,,,48.4,,67.1,,42.8,,35.1,,25.3,,97.7,,43.3,,28.9,B
05OC001,1,1,1912,06,,,,,,,,,48.1,,65.1,,30.3,,33.7,,25.3,,95.1,,43.9,,27.2,B
05OC001,1,1,1912,07,,,,,,,,,50.1,,63.1,,29.2,,33.1,,29.7,,91.7,,43.3,,25.5,B
05OC001,1,1,1912,08,,,,,,,,,52.4,,61.2,,28.1,,32.0,,30.3,,86.7,,42.8,,24.1,B
05OC001,1,1,1912,09,,,,,,,,,54.4,,58.6,,29.7,,29.2,,28.6,,80.7,,42.8,,23.2,B
05OC001,1,1,1912,10,,,,,,,,,56.6,,53.8,,29.4,,28.0,,26.5,,73.9,,42.8,,22.1,B
05OC001,1,1,1912,11,,,,,,,,,62.9,,51.0,,29.2,,27.0,,27.0,,70.2,,42.8,,21.5,B
05OC001,1,1,1912,12,,,,,,,,,68.0,,48.7,,29.2,,27.6,,27.6,,67.1,,42.8,,21.2,B
05OC001,1,1,1912,13,,,,,,,,,76.2,,46.4,,30.3,,27.2,,26.8,,65.4,,43.3,,21.0,B
05OC001,1,1,1912,14,,,,,,,,,79.9,,43.9,,28.6,,26.4,,24.9,,64.0,,43.3,,20.7,B
05OC001,1,1,1912,15,,,,,,,,,82.1,,41.9,,28.6,,25.4,,24.3,,62.3,,42.2,,20.7,B
05OC001,1,1,1912,16,,,,,,,,,83.0,,40.2,,29.2,,25.9,,25.3,,58.0,,41.3,,20.4,B
05OC001,1,1,1912,17,,,,,,,,,82.7,,39.4,,29.2,,25.5,,26.8,,56.6,,40.2,,20.1,B
05OC001,1,1,1912,18,,,,,,,,,82.7,,39.4,,29.2,,24.3,,28.6,,54.1,,40.2,,19.8,B
05OC001,1,1,1912,19,,,,,,,,,82.4,,39.4,,29.7,,25.1,,31.4,,53.2,,40.2,,19.8,B
05OC001,1,1,1912,20,,,,,,,,,80.1,,39.4,,29.7,,28.1,,32.6,,51.5,,38.8,,19.8,B
05OC001,1,1,1912,21,,,,,,,,,79.0,,39.4,,30.3,,30.3,,33.7,,51.0,,37.7,,19.5,B
05OC001,1,1,1912,22,,,,,,,,,74.8,,39.4,,31.4,,30.0,,33.1,,49.6,,36.2,,19.5,B
05OC001,1,1,1912,23,,,,,,,,,73.3,,39.4,,32.6,,28.1,,33.7,,47.3,,34.8,,19.3,B
05OC001,1,1,1912,24,,,,,,,,,71.6,,39.1,,33.7,,27.0,,36.2,,45.3,,34.8,,19.3,B
05OC001,1,1,1912,25,,,,,,,,,70.2,,39.6,,34.5,,25.9,,38.8,,43.9,,34.5,,19.0,B
05OC001,1,1,1912,26,,,,,,,,,67.1,,40.5,,34.3,,26.8,,40.8,,42.8,,34.0,,19.0,B
05OC001,1,1,1912,27,,,,,,,,,69.9,,41.9,,36.2,,27.6,,42.2,,42.8,,34.0,,18.7,B
05OC001,1,1,1912,28,,,,,,,,,74.5,,43.6,,36.2,,26.6,,45.3,,43.9,,34.0,,18.7,B
05OC001,1,1,1912,29,,,,,,,,,75.6,,42.8,,35.4,,25.4,,52.4,,45.3,,33.7,,18.4,B
05OC001,1,1,1912,30,,,,,,,,,76.2,,40.8,,47.3,,24.7,,68.5,,46.7,,33.7,,18.4,B
05OC001,1,1,1912,31,,,,,,,,,76.5,,,,54.9,,26.9,,,,45.3,,,,18.1,B
05OC001,1,1,1913,01,18.1,B,9.91,B,7.65,B,34.3,B,146,,64.0,,35.7,,27.6,,32.0,,28.3,,37.9,B,24.6,
05OC001,1,1,1913,02,17.8,B,9.63,B,7.65,B,51.3,B,143,,62.3,,36.2,,26.4,,32.6,,28.1,,37.9,B,24.6,
05OC001,1,1,1913,03,17.6,B,9.63,B,7.65,B,83.5,B,121,,61.2,,36.2,,29.2,,30.3,,26.5,,37.9,B,24.6,
05OC001,1,1,1913,04,17.6,B,9.34,B,7.65,B,115,B,117,,60.9,,36.0,,30.3,,29.4,,23.7,,37.9,B,24.6,
05OC001,1,1,1913,05,17.3,B,9.34,B,7.65,B,153,B,116,,59.5,,35.7,,32.0,,28.1,,23.7,,37.9,B,24.6,
05OC001,1,1,1913,06,17.3,B,9.06,B,7.36,B,317,B,114,,58.6,,35.4,,35.1,,27.0,,24.0,,37.9,B,24.6,
05OC001,1,1,1913,07,17.0,B,9.06,B,7.36,B,442,,109,,58.3,,34.0,,31.7,,26.2,,24.4,,37.9,B,24.6,
05OC001,1,1,1913,08,16.7,B,9.06,B,7.36,B,555,,105,,58.0,,33.7,,31.1,,25.5,,25.3,,37.9,B,24.6,B
05OC001,1,1,1913,09,16.4,B,8.78,B,7.36,B,634,,102,,57.2,,32.6,,27.8,,24.0,,26.4,,37.9,B,24.6,B
05OC001,1,1,1913,10,16.4,B,8.78,B,7.36,B,685,,98.5,,56.6,,32.6,,27.7,,22.7,,27.3,,37.9,B,24.6,B
05OC001,1,1,1913,11,16.1,B,8.78,B,7.65,B,725,,95.1,,56.1,,31.4,,27.6,,23.7,,28.1,,37.9,B,24.6,B
05OC001,1,1,1913,12,15.9,B,8.50,B,7.65,B,725,,93.4,,55.2,,34.8,,27.0,,24.0,,28.9,,37.9,B,24.6,B
05OC001,1,1,1913,13,15.3,B,8.50,B,7.93,B,714,,90.0,,54.4,,37.7,,27.0,,23.7,,29.7,,37.9,B,24.6,B
05OC001,1,1,1913,14,14.7,B,8.50,B,8.21,B,688,,88.3,,53.0,,42.8,,25.9,,25.9,,31.4,,37.9,B,24.6,B
05OC001,1,1,1913,15,14.2,B,8.50,B,8.50,B,648,,85.0,,51.5,,48.1,,24.7,,29.2,,34.5,,37.9,B,24.6,B
05OC001,1,1,1913,16,13.9,B,8.21,B,8.78,B,609,,83.3,,50.1,,51.0,,23.7,,32.3,,37.7,,37.9,B,24.6,B
05OC001,1,1,1913,17,13.6,B,8.21,B,9.34,B,569,,81.6,,48.4,,49.6,,22.7,,37.7,,40.5,,37.9,B,24.6,B
05OC001,1,1,1913,18,13.3,B,8.21,B,9.91,B,513,,79.9,,47.0,,48.7,,22.7,,41.3,,41.9,,37.9,B,24.6,B
05OC001,1,1,1913,19,13.0,B,8.21,B,10.5,B,464,,78.2,,45.3,,46.7,,23.7,,41.9,,41.9,,37.9,B,24.6,B
05OC001,1,1,1913,20,12.7,B,8.21,B,11.0,B,408,,76.5,,43.3,,44.7,,23.7,,42.8,,42.8,,37.9,B,24.6,B
05OC001,1,1,1913,21,12.5,B,7.93,B,11.6,B,345,,74.8,,42.2,,42.2,,24.4,,43.9,,42.2,,37.9,B,24.6,B
05OC001,1,1,1913,22,12.2,B,7.93,B,12.2,B,300,,74.8,,41.3,,41.3,,24.7,,45.3,,41.3,,37.9,B,24.6,B
05OC001,1,1,1913,23,11.9,B,7.93,B,12.7,B,268,,73.3,,40.8,,40.5,,25.3,,46.7,,41.3,,37.9,B,24.6,B
05OC001,1,1,1913,24,11.6,B,7.93,B,13.3,B,236,,73.3,,40.5,,39.9,,25.9,,43.9,,41.3,,37.9,B,24.6,B
05OC001,1,1,1913,25,11.3,B,7.93,B,14.2,B,217,,72.5,,39.9,,37.7,,24.7,,41.3,,40.2,,37.9,B,24.6,B
05OC001,1,1,1913,26,11.0,B,7.93,B,15.0,B,197,,70.2,,39.4,,36.8,,24.4,,38.8,,38.8,,37.9,B,24.6,B
05OC001,1,1,1913,27,11.0,B,7.65,B,16.1,B,183,,67.7,,38.8,,34.0,,25.6,,36.2,,38.2,,37.9,B,24.6,B
05OC001,1,1,1913,28,10.8,B,7.65,B,17.6,B,165,,67.1,,37.7,,32.6,,27.0,,45.3,,37.7,,37.9,B,24.6,B
05OC001,1,1,1913,29,10.5,B,,,20.1,B,152,,65.4,,36.2,,30.3,,28.1,,43.9,,36.5,,37.9,B,24.6,B
05OC001,1,1,1913,30,10.2,B,,,23.2,B,150,,65.4,,36.2,,28.9,,30.9,,42.2,,34.5,,37.9,B,24.6,B
05OC001,1,1,1913,31,9.91,B,,,29.7,B,,,64.6,,,,28.1,,30.3,,,,35.1,,,,24.6,B
05OC001,1,1,1914,01,15.3,B,13.9,B,22.7,B,51.8,B,85.0,,75.6,,102,,51.8,,34.8,,39.6,,45.3,,31.4,B
05OC001,1,1,1914,02,15.3,B,13.9,B,22.7,B,54.7,B,81.6,,72.5,,119,,51.3,,37.4,,38.2,,45.3,,31.7,B
05OC001,1,1,1914,03,15.3,B,13.9,B,22.7,B,54.7,B,82.7,,70.8,,127,,50.1,,38.5,,36.5,,45.3,,32.0,B
05OC001,1,1,1914,04,15.3,B,13.9,B,22.7,B,57.5,B,83.8,,70.5,,136,,48.4,,38.8,,35.7,,45.3,,32.6,B
05OC001,1,1,1914,05,15.3,B,13.9,B,22.7,B,63.7,B,85.8,,70.5,,145,,46.7,,38.8,,35.1,,45.6,,34.0,B
05OC001,1,1,1914,06,15.3,B,13.9,B,22.7,B,73.1,B,109,,70.8,,149,,44.7,,38.5,,34.5,,45.3,,35.7,B
05OC001,1,1,1914,07,15.3,B,13.9,B,22.7,B,86.4,B,127,,70.8,,149,,43.3,,37.9,,34.5,,45.0,,37.4,B
05OC001,1,1,1914,08,15.3,B,13.9,B,22.7,B,103,B,133,,70.5,,145,,42.5,,37.7,,34.3,,45.9,,37.9,B
05OC001,1,1,1914,09,15.3,B,13.9,B,22.7,B,131,B,136,,71.4,,145,,41.3,,37.4,,34.0,,46.4,,37.7,B
05OC001,1,1,1914,10,15.3,B,13.9,B,22.7,B,136,B,133,,77.3,,140,,41.3,,36.2,,34.0,,46.7,,37.4,B
05OC001,1,1,1914,11,15.3,B,13.9,B,22.7,B,151,B,127,,80.7,,131,,41.1,,36.2,,34.5,,45.9,,36.8,B
05OC001,1,1,1914,12,15.3,B,13.9,B,22.7,B,162,B,119,,90.9,,127,,40.8,,35.7,,35.1,,45.3,,36.5,B
05OC001,1,1,1914,13,15.3,B,13.9,B,22.7,B,165,B,114,,101,,122,,40.2,,35.4,,35.1,,43.9,,34.0,B
05OC001,1,1,1914,14,15.3,B,13.9,B,22.7,B,171,B,109,,131,,114,,38.8,,35.1,,35.7,,43.0,,32.0,B
05OC001,1,1,1914,15,15.3,B,13.9,B,22.7,B,171,B,102,,155,,98.5,,37.7,,35.1,,36.2,,41.9,,29.7,B
05OC001,1,1,1914,16,15.3,B,13.9,B,22.7,B,176,B,98.5,,178,,91.7,,37.1,,34.8,,36.5,,39.9,,28.6,B
05OC001,1,1,1914,17,15.3,B,13.9,B,22.7,B,178,B,84.1,,192,,87.5,,36.2,,34.5,,37.4,,39.1,B,27.5,B
05OC001,1,1,1914,18,15.3,B,13.9,B,22.7,B,169,B,83.5,,202,,83.3,,35.7,,33.7,,37.9,,38.5,B,26.1,B
05OC001,1,1,1914,19,15.3,B,13.9,B,22.7,B,155,,78.4,,206,,79.9,,35.1,,34.5,,38.8,,38.2,B,25.8,B
05OC001,1,1,1914,20,15.3,B,13.9,B,22.7,B,148,,73.9,,202,,75.6,,34.8,,35.4,,40.2,,37.7,B,25.8,B
05OC001,1,1,1914,21,15.3,B,13.9,B,22.7,B,136,,70.8,,198,,71.9,,34.5,,36.2,,41.3,,36.0,B,25.5,B
05OC001,1,1,1914,22,15.3,B,13.9,B,22.7,B,127,,68.8,,192,,70.2,,33.7,,37.7,,42.8,,34.3,B,25.5,B
05OC001,1,1,1914,23,15.3,B,13.9,B,22.7,B,119,,67.1,,182,,68.5,,33.4,,40.2,,42.8,,32.3,B,22.7,B
05OC001,1,1,1914,24,15.3,B,13.9,B,22.7,B,114,,67.1,,164,,67.1,,33.7,,41.3,,43.9,,30.6,B,21.0,B
05OC001,1,1,1914,25,15.3,B,13.9,B,22.7,B,107,,68.5,,151,,65.4,,33.7,,42.2,,43.9,,30.3,B,19.8,B
05OC001,1,1,1914,26,15.3,B,13.9,B,22.7,B,102,,70.8,,136,,64.0,,33.7,,42.8,,43.9,,30.3,B,19.8,B
05OC001,1,1,1914,27,15.3,B,13.9,B,22.7,B,94.3,,74.8,,127,,61.4,,34.5,,42.2,,45.3,,30.3,B,19.8,B
05OC001,1,1,1914,28,15.3,B,13.9,B,22.7,B,91.7,,78.4,,119,,58.0,,34.0,,42.2,,45.3,,30.6,B,19.5,B
05OC001,1,1,1914,29,15.3,B,,,22.7,B,88.3,,80.1,,114,,57.2,,33.7,,41.6,,45.3,,30.9,B,19.5,B
05OC001,1,1,1914,30,15.3,B,,,22.7,B,85.5,,79.9,,110,,55.5,,34.0,,40.5,,46.7,,31.1,B,19.8,B
05OC001,1,1,1914,31,15.3,B,,,22.7,B,,,77.3,,,,53.8,,34.0,,,,45.3,,,,20.1,B
05OC001,1,1,1915,01,21.0,B,25.4,B,25.0,B,45.3,B,73.9,,102,,365,,142,,56.6,,48.1,,51.5,,34.8,B
