date,station,metric,value_SI,unit_SI,source
2025-09-12,Emerson,flow,93.9,m³/s,api_realtime
2025-09-13,Emerson,flow,93.6,m³/s,api_realtime
2025-09-14,Emerson,flow,92.0,m³/s,api_realtime
2025-09-15,Emerson,flow,90.7,m³/s,api_realtime
2025-09-16,Emerson,flow,89.7,m³/s,api_realtime
2025-09-17,Emerson,flow,87.6,m³/s,api_realtime
2025-09-18,Emerson,flow,85.3,m³/s,api_realtime
2025-09-19,Emerson,flow,83.5,m³/s,api_realtime
2025-09-20,Emerson,flow,82.1,m³/s,api_realtime
2025-09-21,Emerson,flow,82.9,m³/s,api_realtime
2025-09-22,Emerson,flow,83.4,m³/s,api_realtime
2025-09-23,Emerson,flow,83.4,m³/s,api_realtime
2025-09-24,Emerson,flow,82.3,m³/s,api_realtime
2025-09-25,Emerson,flow,80.0,m³/s,api_realtime
2025-09-26,Emerson,flow,76.7,m³/s,api_realtime
2025-09-27,Emerson,flow,74.9,m³/s,api_realtime
2025-09-28,Emerson,flow,73.8,m³/s,api_realtime
2025-09-29,Emerson,flow,74.2,m³/s,api_realtime
2025-09-30,Emerson,flow,75.1,m³/s,api_realtime
2025-10-01,Emerson,flow,77.9,m³/s,api_realtime
2025-10-02,Emerson,flow,82.5,m³/s,api_realtime
2025-10-03,Emerson,flow,85.2,m³/s,api_realtime
2025-10-04,Emerson,flow,85.7,m³/s,api_realtime
2025-10-05,Emerson,flow,83.3,m³/s,api_realtime
2025-10-06,Emerson,flow,84.8,m³/s,api_realtime
2025-10-07,Emerson,flow,84.4,m³/s,api_realtime
2025-10-08,Emerson,flow,81.4,m³/s,api_realtime
2025-10-09,Emerson,flow,79.0,m³/s,api_realtime
2025-10-10,Emerson,flow,79.1,m³/s,api_realtime
